id;nhogar;zona;v2_3;v4;h2_2;hacinam_3;tipoho_2;i_estratos;i_canastas;ca_canastas;ct_canastas;i_pobreza;ca_pobreza;ct_pobreza;fexp
1748;1;2;2;2;1;1;2;2;3;142275.3054;335410.82508931;2;130680.5956;280007.628052332;1682
1749;1;2;1;3;3;1;2;3;4;142275.3054;442177.05889321;3;130680.5956;323466.555852332;254
1750;1;2;2;1;1;1;2;5;5;124924.6584;312166.31508931;3;114743.9376;263045.911052332;536
1751;1;3;2;2;3;1;1;2;2;298431.1284;748849.88929263;2;274110.5176;554400.368244664;367
1752;1;1;2;1;2;1;2;2;2;142275.3054;487980.70183678;2;130680.5956;344936.005852332;869
1753;1;2;2;3;2;1;3;4;5;320986.9695;787515.77683378;3;294828.1730;585212.592142332;2446
1754;1;3;1;3;1;1;1;5;5;298431.1284;555879.278154280;3;274110.5176;473215.800828468;490
1755;1;2;2;3;3;1;2;3;2;124924.6584;464736.19183678;3;114743.9376;327974.288852332;469
1756;1;2;2;3;3;1;1;4;5;267199.9638;707009.77129263;3;245424.5332;523869.277644664;210
1757;1;2;2;2;3;1;2;2;2;124924.6584;464736.19183678;2;114743.9376;327974.288852332;1452
1758;1;1;2;2;1;1;2;5;5;124924.6584;312166.31508931;3;114743.9376;263045.911052332;1366
1759;1;1;2;3;1;1;3;5;5;249849.3168;531195.38454516;3;229487.8752;441979.182844664;379
1760;1;3;1;3;3;1;1;1;1;383449.2987;942169.900711605;1;352200.1418;749073.744621096;548
1761;1;3;1;3;1;1;1;4;5;267199.9638;508636.25160159;3;245424.5332;437471.449844664;618
1762;1;1;2;3;1;1;1;3;4;267199.9638;554439.89454516;3;245424.5332;458940.899844664;524
1763;1;2;2;4;1;1;1;5;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;1512
1764;1;2;2;2;3;1;2;2;2;142275.3054;493383.610389470;2;130680.5956;350149.266236136;2507
1765;1;1;2;2;1;1;2;2;2;142275.3054;340813.733642000;2;130680.5956;285220.888436136;726
1766;1;2;2;3;1;1;2;5;5;124924.6584;312166.31508931;3;114743.9376;263045.911052332;766
1767;1;1;2;3;3;1;2;5;5;124924.6584;464736.19183678;3;114743.9376;327974.288852332;717
1768;1;3;2;4;1;1;1;5;5;267199.9638;559842.803097850;3;245424.5332;464154.160228468;200
1769;1;1;2;2;1;1;2;4;5;142275.3054;335410.82508931;3;130680.5956;280007.628052332;621
1770;1;2;2;3;1;1;1;5;5;267199.9638;559842.803097850;3;245424.5332;464154.160228468;210
1771;1;2;2;3;1;1;1;3;4;267199.9638;554439.89454516;3;245424.5332;458940.899844664;1134
1772;1;2;2;3;1;1;1;5;5;267199.9638;565245.711650540;3;245424.5332;469367.420612272;740
1773;1;3;2;3;2;1;3;2;2;444176.5632;1070324.309617710;2;407978.4448;836164.02213713760;393
1774;1;3;1;3;1;1;1;2;2;407740.2045;756415.87911174;2;374511.4630;673844.043546996;729
1775;1;3;2;3;1;1;2;3;4;124924.6584;312166.31508931;3;114743.9376;263045.911052332;147
1776;1;2;1;3;1;1;2;2;4;124924.6584;266362.67214574;2;114743.9376;241576.461052332;213
1777;1;3;2;2;1;1;1;3;4;267199.9638;554439.89454516;3;245424.5332;458940.899844664;722
1778;1;2;1;3;1;1;1;5;5;267199.9638;508636.25160159;3;245424.5332;437471.449844664;1218
1779;1;3;1;5;1;1;1;5;5;926524.5498;1762932.686567595;3;851017.5372;1477067.928386232;301
1780;1;1;2;1;1;1;2;3;4;124924.6584;312166.31508931;3;114743.9376;263045.911052332;652
1781;1;2;2;2;1;1;2;4;5;142275.3054;335410.82508931;3;130680.5956;280007.628052332;730
1782;1;3;1;2;1;1;2;3;4;142275.3054;289607.18214574;3;130680.5956;258538.178052332;609
1783;1;2;2;2;3;1;2;2;2;124924.6584;464736.19183678;2;114743.9376;327974.288852332;255
1784;1;1;2;3;1;1;2;2;2;142275.3054;335410.82508931;2;130680.5956;280007.628052332;993
1785;1;2;2;2;1;1;1;2;2;298431.1284;596280.01254516;2;274110.5176;489471.990444664;417
1786;1;1;2;2;1;1;1;5;5;267199.9638;559842.803097850;3;245424.5332;464154.160228468;614
1787;1;3;1;3;1;1;1;5;5;267199.9638;508636.25160159;3;245424.5332;437471.449844664;55
1788;1;3;2;3;1;1;1;5;5;267199.9638;559842.803097850;3;245424.5332;464154.160228468;631
1789;1;3;1;4;1;1;1;4;5;267199.9638;508636.25160159;3;245424.5332;437471.449844664;758
1790;1;2;2;4;1;1;1;5;5;298431.1284;601682.921097850;3;274110.5176;494685.250828468;1321
1791;1;1;2;2;2;1;2;3;2;124924.6584;464736.19183678;3;114743.9376;327974.288852332;133
1792;1;3;1;3;1;1;3;5;5;315781.7754;579123.788154280;3;290047.1756;490177.517828468;946
1793;1;2;2;3;1;1;1;5;5;440706.4338;861772.70826616;3;404791.1132;730341.65617186160;1009
1794;1;1;2;3;3;1;2;2;2;124924.6584;464736.19183678;2;114743.9376;327974.288852332;870
1795;1;2;2;3;1;1;2;4;5;124924.6584;312166.31508931;3;114743.9376;263045.911052332;766
1796;1;2;2;1;2;1;2;3;2;124924.6584;464736.19183678;3;114743.9376;327974.288852332;410
1797;1;2;1;3;1;1;1;1;1;267199.9638;508636.25160159;1;245424.5332;437471.449844664;355
1798;1;3;2;5;1;1;3;5;5;603802.5156;1183740.963560235;3;554595.6984;991652.94201590160;470
1799;1;2;2;2;1;1;2;3;4;124924.6584;317569.223642000;3;114743.9376;268259.171436136;1532
1800;1;2;2;3;1;1;2;5;5;124924.6584;312166.31508931;3;114743.9376;263045.911052332;209
1801;1;2;2;2;1;1;3;4;5;265464.8991;557518.352097850;3;243830.8674;462457.988528468;357
1802;1;1;1;5;1;1;1;5;5;267199.9638;514039.160154280;3;245424.5332;442684.710228468;342
1803;1;1;2;5;1;1;1;5;5;392124.6222;812536.367322630;3;360168.4708;698488.62972327360;328
1804;1;1;2;5;1;1;2;6;5;142275.3054;340813.733642000;3;130680.5956;285220.888436136;776
1805;1;1;2;4;1;1;1;6;5;267199.9638;565245.711650540;3;245424.5332;469367.420612272;390
1806;1;1;2;3;1;1;1;5;5;265464.8991;557518.352097850;3;243830.8674;462457.988528468;454
1807;1;1;2;3;1;1;2;5;5;124924.6584;312166.31508931;3;114743.9376;263045.911052332;869
1808;1;1;2;3;1;1;1;5;5;267199.9638;559842.803097850;3;245424.5332;464154.160228468;119
1809;1;2;1;1;3;1;2;2;2;124924.6584;418932.54889321;2;114743.9376;306504.838852332;257
1810;1;2;2;1;1;1;2;2;2;124924.6584;312166.31508931;2;114743.9376;263045.911052332;493
1811;1;2;2;2;3;1;2;2;2;124924.6584;464736.19183678;2;114743.9376;327974.288852332;603
1812;1;3;2;4;1;1;1;1;1;872737.5441;1707473.093463850;1;801613.8974;1399439.30551308840;1275
1813;1;2;2;4;1;1;1;5;5;267199.9638;559842.803097850;3;245424.5332;464154.160228468;1410
1814;1;2;1;2;2;1;2;2;2;124924.6584;418932.54889321;2;114743.9376;306504.838852332;457
1815;1;1;2;3;1;1;1;5;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;429
1816;1;1;2;2;1;1;2;5;5;142275.3054;335410.82508931;3;130680.5956;280007.628052332;798
1817;1;2;2;3;1;1;3;1;1;303636.3225;611701.39008631;1;278891.5150;503322.497342332;431
1818;1;1;2;8;1;1;1;5;5;267199.9638;559842.803097850;3;245424.5332;464154.160228468;557
1819;1;1;2;3;1;1;1;5;5;298431.1284;601682.921097850;3;274110.5176;494685.250828468;383
1820;1;1;2;3;1;1;1;4;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;327
1821;1;3;1;2;2;1;2;4;5;124924.6584;418932.54889321;3;114743.9376;306504.838852332;528
1822;1;3;1;2;2;1;1;2;2;444176.5632;998570.81569471;2;407978.4448;801467.151044664;161
1823;1;2;1;2;1;1;2;2;4;124924.6584;266362.67214574;2;114743.9376;241576.461052332;529
1824;1;3;2;3;1;1;2;2;3;124924.6584;312166.31508931;2;114743.9376;263045.911052332;195
1825;1;2;2;2;3;1;2;2;2;124924.6584;464736.19183678;2;114743.9376;327974.288852332;1838
1826;1;3;1;2;3;1;3;4;5;298431.1284;708449.154901750;3;274110.5176;538144.178628468;206
1827;1;2;2;1;3;1;2;2;2;124924.6584;464736.19183678;2;114743.9376;327974.288852332;822
1828;1;3;2;2;1;1;3;2;3;267199.9638;559428.105439445;2;245424.5332;463185.939695860;463
