id;nhogar;miembro;zona;edad;sexo;parentes_3;p5_3;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10;t11;t12;estado;categori;t_calocu;t15;t18;t19;t20_1;t21_1;t22_1;t48a_d;t48b_d;t50d_a;t50d_b;t50d_c;t50d_d;t50d_e;t50d_f;t51_d;t23_1_cod;t24_1_cod;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40a;t40b;t40_2;t41_cod_2;t47;t48;t48a;t48b;t49;t50a;t50b;t50c;t50d;t50e;t50f;t51_bis;tsd3;tsd6;tsd4;tsd7;tsd7a;i1;i4;i6_3;codioph_neto;ioph_neto_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;nivel_2;tipcob2_2;t40bis_a;t40bis_a2;t40bis_b;t40bis_d;t40bis_f;fexp
15;1;1;2;20;2;1;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;60000;1;60000;1;60000;60000.0;1;3;3;0;0;0;0;0;747
16;1;1;2;20;2;1;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;100000;1;100000;1;300000;100000.0;1;3;2;0;0;0;0;0;1541
16;1;2;2;20;2;6;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;100000;1;100000;1;300000;100000.0;1;3;2;0;0;0;0;0;1541
16;1;3;2;19;2;6;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;100000;1;100000;1;300000;100000.0;1;3;2;0;0;0;0;0;1541
17;1;1;3;20;2;1;5;1;0;0;0;0;0;1;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;26.0;2;0;2;8501;7;1;2;3;0;1;41332;0;0;0;0;2;1;1;1;1;1;2;1;0;0;0;0;0;1;0;2;1;300000;1;340000;2;0;2;0;2;0;1;340000;1;860000;286666.7;1;3;5;1;0;0;2;0;343
17;1;2;3;21;2;6;5;1;0;0;0;0;0;1;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;24.0;2;0;2;8501;7;1;2;3;0;1;41332;0;0;0;0;1;1;1;1;1;1;2;1;0;0;0;0;0;1;0;2;1;320000;1;320000;2;0;2;0;2;0;1;320000;1;860000;286666.7;1;3;2;1;0;0;2;0;343
17;1;3;3;22;2;6;5;1;0;0;0;0;0;1;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;50.0;2;0;1;8501;7;2;2;3;0;1;41312;0;0;0;0;1;2;2;2;2;2;2;2;0;0;0;0;0;1;0;2;1;200000;1;200000;2;0;2;0;2;0;1;200000;1;860000;286666.7;1;3;5;1;0;0;2;0;343
18;1;1;1;20;2;1;5;1;0;0;0;0;0;1;0;0;0;0;0;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8.0;2;0;2;9700;9;0;0;0;0;0;57314;0;0;0;0;1;2;2;2;2;2;2;3;2;0;3500;2;0;1;0;2;1;86000;1;86000;2;0;2;0;1;100000;1;186000;1;286000;143000.0;1;3;4;7;0;1;2;0;927
18;1;2;1;19;1;4;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;100000;1;100000;1;286000;143000.0;1;3;4;0;0;0;0;0;927
19;1;1;2;20;1;1;5;2;1;0;0;0;0;1;0;0;0;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5.0;1;1;2;9609;8;2;1;1;0;1;58113;1;2;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;40000;1;40000;2;0;2;0;9;200000;9;240000;9;530000;265000.0;1;3;4;8;2;0;2;0;2133
19;1;2;2;23;1;4;5;1;0;0;0;0;0;1;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17.0;2;0;2;7701;5;2;2;9;5;1;41312;0;0;0;0;2;2;2;2;2;2;2;3;0;0;0;0;0;1;0;2;1;250000;1;290000;2;0;2;0;2;0;1;290000;9;530000;265000.0;1;3;4;8;1;0;2;0;2133
20;1;1;2;20;1;1;5;2;2;4;0;0;0;0;0;1;0;0;1;2;0;0;1;1;2024;3;0;0;0;0;1;1;1;1;1;2;1;7000;45332;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;475000;2;0;2;0;2;0;1;475000;1;475000;475000.0;1;3;1;0;0;0;0;0;679
21;1;1;2;20;1;1;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;328000;1;328000;1;628000;314000.0;1;3;1;0;0;0;0;0;2407
21;1;2;2;19;1;6;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;300000;1;300000;1;628000;314000.0;1;3;1;0;0;0;0;0;2407
22;1;1;2;20;2;1;2;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;78000;1;78000;1;78000;78000.0;2;1;1;0;0;0;0;0;160
22;2;1;2;20;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;48.0;2;0;2;4000;2;2;2;2;0;1;72314;0;0;0;0;2;2;2;2;2;2;2;3;0;0;0;0;0;1;0;2;1;280000;1;280000;2;0;2;0;2;0;1;280000;1;357033;119011.0;2;2;1;1;0;0;2;0;160
22;2;2;2;20;2;2;1;2;2;2;0;0;0;0;0;2;2;6;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;77033;1;77033;1;357033;119011.0;2;2;1;0;0;0;0;0;160
